seed,noise_multiplier,max_grad_norm,batch_size,epochs,learning_rate,schedule,delta,epsilon,accuracy,precision,recall,f1_score,confusion_matrix,roc_auc,pr_auc,training_time,device,peak_memory_mb,status,notes
42,1.5,1.0,256,20,0.05,none,1e-05,1.21430041194964,0.85066401062417,0.7616300036062027,0.5708108108108109,0.652556774293218,"[[10699, 661], [1588, 2112]]",0.9055526741530264,0.7738413335548895,29.047003746032715,cuda,59.74169921875,ok,
42,1.5,1.5,256,20,0.05,none,1e-05,1.21430041194964,0.849800796812749,0.7620262390670554,0.5651351351351351,0.648975791433892,"[[10707, 653], [1609, 2091]]",0.9034471712028932,0.7719999416039669,28.35740613937378,cuda,78.380859375,ok,
42,1.5,2.0,256,20,0.05,none,1e-05,1.21430041194964,0.849933598937583,0.7593659942363112,0.5697297297297297,0.6510191476219889,"[[10692, 668], [1592, 2108]]",0.9026640178911304,0.7705188481652413,28.758313179016117,cuda,78.9736328125,ok,
42,1.5,2.5,256,20,0.05,none,1e-05,1.21430041194964,0.8494023904382471,0.7544420753375978,0.5737837837837838,0.6518268345102856,"[[10669, 691], [1577, 2123]]",0.9018227778835172,0.7678133326371197,29.002732038497925,cuda,78.29638671875,ok,
42,1.5,3.0,256,20,0.05,none,1e-05,1.21430041194964,0.8470783532536521,0.741946657429858,0.5789189189189189,0.6503719447396387,"[[10615, 745], [1558, 2142]]",0.8990941782451466,0.7619931500861161,28.51117491722107,cuda,78.29638671875,ok,
42,1.5,1.0,128,20,0.05,none,1e-05,0.8253931178948875,0.845219123505976,0.7473798337549693,0.5589189189189189,0.639554662130818,"[[10661, 699], [1632, 2068]]",0.8929323253711459,0.7550082511360293,48.67173361778259,cuda,60.28125,ok,
42,1.5,1.0,384,20,0.05,none,1e-05,1.523192951315875,0.850996015936255,0.7574257425742574,0.5789189189189189,0.65625,"[[10674, 686], [1558, 2142]]",0.9076161139132088,0.7768492196065439,22.52275800704956,cuda,103.8681640625,ok,
42,1.5,1.0,512,20,0.05,none,1e-05,1.7990588844220654,0.851261620185923,0.7433333333333333,0.6027027027027027,0.6656716417910448,"[[10590, 770], [1470, 2230]]",0.9070168205177008,0.7761414289898796,18.712361335754395,cuda,126.23193359375,ok,
42,1.5,1.0,512,30,0.05,none,1e-05,2.233089124326097,0.852257636122178,0.7590446083596768,0.5840540540540541,0.6601496868794868,"[[10674, 686], [1539, 2161]]",0.9076840740388276,0.7778807431175677,28.222570180892944,cuda,137.18896484375,ok,
42,1.5,1.0,512,30,0.05,cosine,1e-05,2.233089124326097,0.851062416998672,0.7482112436115843,0.5935135135135136,0.6619442351168048,"[[10621, 739], [1504, 2196]]",0.9068800437761706,0.7748399402023036,29.0065393447876,cuda,138.5712890625,ok,
42,1.5,1.0,512,40,0.05,cosine,1e-05,2.608834075818551,0.8523240371845949,0.7510204081632653,0.5967567567567568,0.6650602409638554,"[[10628, 732], [1492, 2208]]",0.9076800295013324,0.7770449816308613,39.091880321502686,cuda,135.10791015625,ok,
42,1.5,1.0,512,30,0.03,cosine,1e-05,2.233089124326097,0.848804780876494,0.7440823327615781,0.5862162162162162,0.6557823129251701,"[[10614, 746], [1531, 2169]]",0.9044048700989724,0.7681524023350661,29.299333095550537,cuda,138.25927734375,ok,
42,1.5,1.0,512,30,0.08,cosine,1e-05,2.233089124326097,0.8529880478087649,0.7535836177474403,0.5967567567567568,0.6660633484162896,"[[10638, 722], [1492, 2208]]",0.9076698467834032,0.7777733673504431,29.83600401878357,cuda,138.5712890625,ok,
42,1.5,1.0,512,20,0.08,none,1e-05,1.7990588844220654,0.851593625498008,0.7445742904841403,0.6027027027027027,0.666168782673637,"[[10595, 765], [1470, 2230]]",0.9072465383517321,0.7775467695537832,19.659510374069214,cuda,97.53857421875,ok,
42,1.5,1.0,512,20,0.08,cosine,1e-05,1.7990588844220654,0.8515272244355909,0.7496589358799455,0.5940540540540541,0.6628468033775633,"[[10626, 734], [1502, 2198]]",0.9069866887133612,0.7754720815700499,19.36511468887329,cuda,140.65234375,ok,
42,1.5,1.0,512,25,0.08,cosine,1e-05,2.0253857296056412,0.851394422310757,0.748639455782313,0.5948648648648649,0.6629518072289157,"[[10621, 739], [1499, 2201]]",0.907395127521888,0.7768245731019684,24.501774787902832,cuda,137.18896484375,ok,
42,1.5,1.0,512,25,0.1,cosine,1e-05,2.0253857296056412,0.8533200531208499,0.7540034071550256,0.5981081081081081,0.66706857573474,"[[10638, 722], [1487, 2213]]",0.9075549343357442,0.7776162061960139,24.159492254257202,cuda,137.2724609375,ok,
42,1.5,1.0,768,20,0.05,none,1e-05,2.2500655743261375,0.850199203187251,0.747429746401645,0.5894594594594594,0.6591115140525838,"[[10623, 737], [1519, 2181]]",0.9065436572135516,0.7739453596083218,15.79261565208435,cuda,167.880859375,ok,
42,1.5,1.0,768,20,0.08,cosine,1e-05,2.2500655743261375,0.8494023904382471,0.7470669427191167,0.5851351351351352,0.6562594725674447,"[[10627, 733], [1535, 2165]]",0.9058837195470116,0.7721056638198898,16.14473605155945,cuda,187.99755859375,ok,
42,1.5,0.5,512,20,0.08,cosine,1e-05,1.7990588844220654,0.847011952191235,0.7420249653259362,0.5783783783783784,0.6500607533414338,"[[10616, 744], [1560, 2140]]",0.9030682099352874,0.764541265763088,18.804343223571777,cuda,155.55859375,ok,
42,1.5,2.0,512,20,0.08,cosine,1e-05,1.7990588844220654,0.8531208499335989,0.7511816340310601,0.6013513513513513,0.6679675773041128,"[[10623, 737], [1475, 2225]]",0.9072082104111153,0.7781973279751243,19.47454047203064,cuda,133.126953125,ok,
